OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20011114_0945,Field Msr/Obs,Water,,2001-11-14,09:45:00,PST,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Phosphorus,Total,34,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20011114_0945,Field Msr/Obs,Water,,2001-11-14,09:45:00,PST,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Nitrogen,Total,50,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20011127_0943,Field Msr/Obs,Water,,2001-11-27,09:43:00,PST,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Phosphorus,Total,35,ug/l,,Final,,Actual,,,,,,iced over,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20011127_0943,Field Msr/Obs,Water,,2001-11-27,09:43:00,PST,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Nitrogen,Total,50,ug/l,,Final,,Actual,,,,,,iced over,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20020109_1000,Field Msr/Obs,Water,,2002-01-09,10:00:00,PST,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Phosphorus,Total,54,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20020109_1000,Field Msr/Obs,Water,,2002-01-09,10:00:00,PST,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Nitrogen,Total,283,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20020220_0940,Field Msr/Obs,Water,,2002-02-20,09:40:00,PST,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Phosphorus,Total,104,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20020220_0940,Field Msr/Obs,Water,,2002-02-20,09:40:00,PST,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Nitrogen,Total,618,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20020312_0943,Field Msr/Obs,Water,,2002-03-12,09:43:00,PST,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Phosphorus,Total,59,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20020312_0943,Field Msr/Obs,Water,,2002-03-12,09:43:00,PST,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Nitrogen,Total,198,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20020327_0910,Field Msr/Obs,Water,,2002-03-27,09:10:00,PST,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Phosphorus,Total,48,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20020327_0910,Field Msr/Obs,Water,,2002-03-27,09:10:00,PST,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Nitrogen,Total,201,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20020409_0910,Field Msr/Obs,Water,,2002-04-09,09:10:00,PDT,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Phosphorus,Total,70,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20020409_0910,Field Msr/Obs,Water,,2002-04-09,09:10:00,PDT,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Nitrogen,Total,367,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20020423_0934,Field Msr/Obs,Water,,2002-04-23,09:34:00,PDT,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Phosphorus,Total,36,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20020423_0934,Field Msr/Obs,Water,,2002-04-23,09:34:00,PDT,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Nitrogen,Total,208,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20020507_0933,Field Msr/Obs,Water,,2002-05-07,09:33:00,PDT,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Phosphorus,Total,36,ug/l,,Final,,Actual,,,,,,new transect + meter is damaged,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20020507_0933,Field Msr/Obs,Water,,2002-05-07,09:33:00,PDT,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Nitrogen,Total,187,ug/l,,Final,,Actual,,,,,,new transect + meter is damaged,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20020611_0936,Field Msr/Obs,Water,,2002-06-11,09:36:00,PDT,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Phosphorus,Total,32,ug/l,,Final,,Actual,,,,,,flow meter is damaged no do or sat bad membrane,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20020611_0936,Field Msr/Obs,Water,,2002-06-11,09:36:00,PDT,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Nitrogen,Total,140,ug/l,,Final,,Actual,,,,,,flow meter is damaged no do or sat bad membrane,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20020624_1000,Field Msr/Obs,Water,,2002-06-24,10:00:00,PDT,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Phosphorus,Total,38,ug/l,,Final,,Actual,,,,,,flow meter is damaged,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20020624_1000,Field Msr/Obs,Water,,2002-06-24,10:00:00,PDT,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Nitrogen,Total,127,ug/l,,Final,,Actual,,,,,,flow meter is damaged,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20020710_0927,Field Msr/Obs,Water,,2002-07-10,09:27:00,PDT,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Phosphorus,Total,40,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20020710_0927,Field Msr/Obs,Water,,2002-07-10,09:27:00,PDT,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Nitrogen,Total,50,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20020724_0957,Field Msr/Obs,Water,,2002-07-24,09:57:00,PDT,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Phosphorus,Total,32,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20020724_0957,Field Msr/Obs,Water,,2002-07-24,09:57:00,PDT,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Nitrogen,Total,158,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20020807_0952,Field Msr/Obs,Water,,2002-08-07,09:52:00,PDT,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Phosphorus,Total,25,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20020807_0952,Field Msr/Obs,Water,,2002-08-07,09:52:00,PDT,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Nitrogen,Total,50,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20020820_0944,Field Msr/Obs,Water,,2002-08-20,09:44:00,PDT,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Phosphorus,Total,26,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20020820_0944,Field Msr/Obs,Water,,2002-08-20,09:44:00,PDT,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Nitrogen,Total,113,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20020905_1005,Field Msr/Obs,Water,,2002-09-05,10:05:00,PDT,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Phosphorus,Total,26,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20020905_1005,Field Msr/Obs,Water,,2002-09-05,10:05:00,PDT,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Nitrogen,Total,115,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20020917_1000,Field Msr/Obs,Water,,2002-09-17,10:00:00,PDT,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Phosphorus,Total,27,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20020917_1000,Field Msr/Obs,Water,,2002-09-17,10:00:00,PDT,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Nitrogen,Total,171,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20021003_0950,Field Msr/Obs,Water,,2002-10-03,09:50:00,PDT,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Phosphorus,Total,30,ug/l,,Final,,Actual,,,,,,"""substraight sand with mixed cobble 2""""to 6""""""",,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20021003_0950,Field Msr/Obs,Water,,2002-10-03,09:50:00,PDT,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Nitrogen,Total,50,ug/l,,Final,,Actual,,,,,,"""substraight sand with mixed cobble 2""""to 6""""""",,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20021015_0936,Field Msr/Obs,Water,,2002-10-15,09:36:00,PDT,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Phosphorus,Total,35,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20021015_0936,Field Msr/Obs,Water,,2002-10-15,09:36:00,PDT,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Nitrogen,Total,50,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20021029_0950,Field Msr/Obs,Water,,2002-10-29,09:50:00,PST,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Phosphorus,Total,36,ug/l,,Final,,Actual,,,,,,willow height = 15',,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20021029_0950,Field Msr/Obs,Water,,2002-10-29,09:50:00,PST,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Nitrogen,Total,50,ug/l,,Final,,Actual,,,,,,willow height = 15',,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20021112_0940,Field Msr/Obs,Water,,2002-11-12,09:40:00,PST,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Phosphorus,Total,41,ug/l,,Final,,Actual,,,,,,S.F. Diversion Removed,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20021112_0940,Field Msr/Obs,Water,,2002-11-12,09:40:00,PST,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Nitrogen,Total,50,ug/l,,Final,,Actual,,,,,,S.F. Diversion Removed,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20021125_1000,Field Msr/Obs,Water,,2002-11-25,10:00:00,PST,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Phosphorus,Total,40,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20021125_1000,Field Msr/Obs,Water,,2002-11-25,10:00:00,PST,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Nitrogen,Total,122,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20021217_1011,Field Msr/Obs,Water,,2002-12-17,10:11:00,PST,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Phosphorus,Total,34,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20021217_1011,Field Msr/Obs,Water,,2002-12-17,10:11:00,PST,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Nitrogen,Total,50,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20030114_1000,Field Msr/Obs,Water,,2003-01-14,10:00:00,PST,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Phosphorus,Total,145,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20030114_1000,Field Msr/Obs,Water,,2003-01-14,10:00:00,PST,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Nitrogen,Total,714,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20030122_1005,Field Msr/Obs,Water,,2003-01-22,10:05:00,PST,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Phosphorus,Total,44,ug/l,,Final,,Actual,,,,,,started using churn splitter,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20030122_1005,Field Msr/Obs,Water,,2003-01-22,10:05:00,PST,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Nitrogen,Total,131,ug/l,,Final,,Actual,,,,,,started using churn splitter,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20030128_0953,Field Msr/Obs,Water,,2003-01-28,09:53:00,PST,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Phosphorus,Total,72,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20030128_0953,Field Msr/Obs,Water,,2003-01-28,09:53:00,PST,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Nitrogen,Total,369,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20030205_0950,Field Msr/Obs,Water,,2003-02-05,09:50:00,PST,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Phosphorus,Total,42,ug/l,,Final,,Actual,,,,,,bubble in the membrane,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20030205_0950,Field Msr/Obs,Water,,2003-02-05,09:50:00,PST,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Nitrogen,Total,204,ug/l,,Final,,Actual,,,,,,bubble in the membrane,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20030219_0952,Field Msr/Obs,Water,,2003-02-19,09:52:00,PST,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Phosphorus,Total,39,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20030219_0952,Field Msr/Obs,Water,,2003-02-19,09:52:00,PST,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Nitrogen,Total,193,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20030304_1002,Field Msr/Obs,Water,,2003-03-04,10:02:00,PST,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Phosphorus,Total,34,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20030304_1002,Field Msr/Obs,Water,,2003-03-04,10:02:00,PST,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Nitrogen,Total,217,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20030319_1004,Field Msr/Obs,Water,,2003-03-19,10:04:00,PST,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Phosphorus,Total,41,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20030319_1004,Field Msr/Obs,Water,,2003-03-19,10:04:00,PST,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Nitrogen,Total,308,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20030402_1000,Field Msr/Obs,Water,,2003-04-02,10:00:00,PST,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Phosphorus,Total,49,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20030402_1000,Field Msr/Obs,Water,,2003-04-02,10:00:00,PST,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Nitrogen,Total,200,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20030415_0930,Field Msr/Obs,Water,,2003-04-15,09:30:00,PDT,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Phosphorus,Total,31,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20030415_0930,Field Msr/Obs,Water,,2003-04-15,09:30:00,PDT,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Nitrogen,Total,153,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
KLAMATHTRIBES_WQX,Klamath Tribes,KLAMATHTRIBES_WQX-KT_SR_WQ_19_0_20030429_1010,Field Msr/Obs,Water,,2003-04-29,10:10:00,PDT,,,,0,m,,,,,,KT_SR_WQ,,KLAMATHTRIBES_WQX-SR0050,,,,,,,,,,Phosphorus,Total,31,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
