OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,MonitoringLocationIdentifier,ResultIdentifier,DataLoggerLine,ResultDetectionConditionText,MethodSpecificationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,DataQuality/BiasValue,ConfidenceIntervalValue,UpperConfidenceLimitValue,LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,ResultSamplingPointName,BiologicalIntentName,BiologicalIndividualIdentifier,SubjectTaxonomicName,UnidentifiedSpeciesIdentifier,SampleTissueAnatomyName,GroupSummaryCountWeight/MeasureValue,GroupSummaryCountWeight/MeasureUnitCode,CellFormName,CellShapeName,HabitName,VoltismName,TaxonomicPollutionTolerance,TaxonomicPollutionToleranceScaleText,TrophicLevelName,FunctionalFeedingGroupName,TaxonomicDetailsCitation/ResourceTitleName,TaxonomicDetailsCitation/ResourceCreatorName,TaxonomicDetailsCitation/ResourceSubjectText,TaxonomicDetailsCitation/ResourcePublisherName,TaxonomicDetailsCitation/ResourceDate,TaxonomicDetailsCitation/ResourceIdentifier,FrequencyClassInformationUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodQualifierTypeName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,AnalysisStartTime/Time,AnalysisStartTime/TimeZoneCode,AnalysisEndDate,AnalysisEndTime/Time,AnalysisEndTime/TimeZoneCode,ResultLaboratoryCommentCode,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,LaboratoryAccreditationIndicator,LaboratoryAccreditationAuthorityName,TaxonomistAccreditationIndicator,TaxonomistAccreditationAuthorityName,LabSamplePreparationUrl,ProviderName
CEDEN,California State Water Resources Control Board,CEDEN--2145632131,2009-05-24,14:10:00,PST,CEDEN-KR19019_KHSA,STORET-725901208,,,as P,Phosphorus,Total,0.13,mg/l,,Final,,Actual,,,,,,,,,,1,,20,m,,,,,,,,,,,,,,,,,,,,,,,,,181,CEDEN,EPA 365.4,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145632131,2009-05-24,14:10:00,PST,CEDEN-KR19019_KHSA,STORET-725901209,,,,Organic carbon,Dissolved,4.82,mg/l,,Final,,Actual,,,,,,,,,,1,,20,m,,,,,,,,,,,,,,,,,,,,,,,,,62,CEDEN,EPA 415.1,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145635675,2009-05-24,14:05:00,PST,CEDEN-KR19019_KHSA,STORET-725342151,,,as P,Phosphorus,Total,0.13,mg/l,,Final,,Actual,,,,,,,,,,1,,10,m,,,,,,,,,,,,,,,,,,,,,,,,,181,CEDEN,EPA 365.4,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145635675,2009-05-24,14:05:00,PST,CEDEN-KR19019_KHSA,STORET-725342152,,,,Organic carbon,Dissolved,5.3,mg/l,,Final,,Actual,,,,,,,,,,1,,10,m,,,,,,,,,,,,,,,,,,,,,,,,,62,CEDEN,EPA 415.1,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145635675,2009-05-24,14:05:00,PST,CEDEN-KR19019_KHSA,STORET-725342153,,,,Nitrogen,Total,0.37,mg/l,,Final,,Actual,,,,,,,,,,1,,10,m,,,,,,,,,,,,,,,,,,,,,,,,,4056,CEDEN,SM 4500-N C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145625112,2009-06-24,19:15:00,PST,CEDEN-KR19019_KHSA,STORET-725419215,,,,Organic carbon,Dissolved,5.83,mg/l,,Final,,Actual,,,,,,,,,,1,,0.5,m,,,,,,,,,,,,,,,,,,,,,,,,,62,CEDEN,EPA 415.1,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145625112,2009-06-24,19:15:00,PST,CEDEN-KR19019_KHSA,STORET-725419216,,,,Nitrogen,Total,0.38,mg/l,,Final,,Actual,,,,,,,,,,1,,0.5,m,,,,,,,,,,,,,,,,,,,,,,,,,4056,CEDEN,SM 4500-N C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145625112,2009-06-24,19:15:00,PST,CEDEN-KR19019_KHSA,STORET-725419219,,,as P,Phosphorus,Total,0.14,mg/l,,Final,,Actual,,,,,,,,,,1,,0.5,m,,,,,,,,,,,,,,,,,,,,,,,,,181,CEDEN,EPA 365.4,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145625118,2009-06-24,18:45:00,PST,CEDEN-KR19019_KHSA,STORET-725902852,,,,Nitrogen,Total,0.64,mg/l,,Final,,Actual,,,,,,,,,,1,,20,m,,,,,,,,,,,,,,,,,,,,,,,,,4056,CEDEN,SM 4500-N C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145625118,2009-06-24,18:45:00,PST,CEDEN-KR19019_KHSA,STORET-725902853,,,,Organic carbon,Dissolved,4.69,mg/l,,Final,,Actual,,,,,,,,,,1,,20,m,,,,,,,,,,,,,,,,,,,,,,,,,62,CEDEN,EPA 415.1,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145625118,2009-06-24,18:45:00,PST,CEDEN-KR19019_KHSA,STORET-725902855,,,as P,Phosphorus,Total,0.11,mg/l,,Final,,Actual,,,,,,,,,,1,,20,m,,,,,,,,,,,,,,,,,,,,,,,,,181,CEDEN,EPA 365.4,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145635301,2009-06-24,19:00:00,PST,CEDEN-KR19019_KHSA,STORET-725933006,,,,Organic carbon,Dissolved,5.51,mg/l,,Final,,Actual,,,,,,,,,,1,,30,m,,,,,,,,,,,,,,,,,,,,,,,,,62,CEDEN,EPA 415.1,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145635301,2009-06-24,19:00:00,PST,CEDEN-KR19019_KHSA,STORET-725933007,,,as P,Phosphorus,Total,0.16,mg/l,,Final,,Actual,,,,,,,,,,1,,30,m,,,,,,,,,,,,,,,,,,,,,,,,,181,CEDEN,EPA 365.4,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145635301,2009-06-24,19:00:00,PST,CEDEN-KR19019_KHSA,STORET-725933009,,,,Nitrogen,Total,0.4,mg/l,,Final,,Actual,,,,,,,,,,1,,30,m,,,,,,,,,,,,,,,,,,,,,,,,,4056,CEDEN,SM 4500-N C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145635666,2009-06-24,18:30:00,PST,CEDEN-KR19019_KHSA,STORET-725734118,,,as P,Phosphorus,Total,0.14,mg/l,,Final,,Actual,,,,,,,,,,1,,10,m,,,,,,,,,,,,,,,,,,,,,,,,,181,CEDEN,EPA 365.4,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145635666,2009-06-24,18:30:00,PST,CEDEN-KR19019_KHSA,STORET-725734120,,,,Organic carbon,Dissolved,4.31,mg/l,,Final,,Actual,,,,,,,,,,1,,10,m,,,,,,,,,,,,,,,,,,,,,,,,,62,CEDEN,EPA 415.1,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145635666,2009-06-24,18:30:00,PST,CEDEN-KR19019_KHSA,STORET-725734121,,,,Nitrogen,Total,0.63,mg/l,,Final,,Actual,,,,,,,,,,1,,10,m,,,,,,,,,,,,,,,,,,,,,,,,,4056,CEDEN,SM 4500-N C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145635934,2009-06-24,18:20:00,PST,CEDEN-KR19019_KHSA,STORET-725778900,,,,Organic carbon,Dissolved,4.68,mg/l,,Final,,Actual,,,,,,,,,,1,,40,m,,,,,,,,,,,,,,,,,,,,,,,,,62,CEDEN,EPA 415.1,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145635934,2009-06-24,18:20:00,PST,CEDEN-KR19019_KHSA,STORET-725778901,,,,Nitrogen,Total,0.95,mg/l,,Final,,Actual,,,,,,,,,,1,,40,m,,,,,,,,,,,,,,,,,,,,,,,,,4056,CEDEN,SM 4500-N C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145635934,2009-06-24,18:20:00,PST,CEDEN-KR19019_KHSA,STORET-725778902,,,as P,Phosphorus,Total,0.13,mg/l,,Final,,Actual,,,,,,,,,,1,,40,m,,,,,,,,,,,,,,,,,,,,,,,,,181,CEDEN,EPA 365.4,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145626647,2009-07-22,12:00:00,PST,CEDEN-KR19019_KHSA,STORET-725699396,,,,Organic carbon,Dissolved,4.5,mg/l,,Final,,Actual,,,,,,,,,,1,,40,m,,,,,,,,,,,,,,,,,,,,,,,,,62,CEDEN,EPA 415.1,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145626647,2009-07-22,12:00:00,PST,CEDEN-KR19019_KHSA,STORET-725699397,,,,Nitrogen,Total,0.7,mg/l,,Final,,Actual,,,,,,,,,,1,,40,m,,,,,,,,,,,,,,,,,,,,,,,,,4056,CEDEN,SM 4500-N C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145626647,2009-07-22,12:00:00,PST,CEDEN-KR19019_KHSA,STORET-725699401,,,as P,Phosphorus,Total,0.12,mg/l,,Final,,Actual,,,,,,,,,,1,,40,m,,,,,,,,,,,,,,,,,,,,,,,,,181,CEDEN,EPA 365.4,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145629387,2009-07-22,10:50:00,PST,CEDEN-KR19019_KHSA,STORET-725809929,,,as P,Phosphorus,Total,0.1,mg/l,,Final,,Actual,,,,,,,,,,1,,20,m,,,,,,,,,,,,,,,,,,,,,,,,,181,CEDEN,EPA 365.4,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145629387,2009-07-22,10:50:00,PST,CEDEN-KR19019_KHSA,STORET-725809932,,,,Organic carbon,Dissolved,5.01,mg/l,,Final,,Actual,,,,,,,,,,1,,20,m,,,,,,,,,,,,,,,,,,,,,,,,,62,CEDEN,EPA 415.1,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145629387,2009-07-22,10:50:00,PST,CEDEN-KR19019_KHSA,STORET-725809933,,,,Nitrogen,Total,0.44,mg/l,,Final,,Actual,,,,,,,,,,1,,20,m,,,,,,,,,,,,,,,,,,,,,,,,,4056,CEDEN,SM 4500-N C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145634341,2009-07-22,11:30:00,PST,CEDEN-KR19019_KHSA,STORET-725741871,,,,Organic carbon,Dissolved,4.69,mg/l,,Final,,Actual,,,,,,,,,,1,,30,m,,,,,,,,,,,,,,,,,,,,,,,,,62,CEDEN,EPA 415.1,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145634341,2009-07-22,11:30:00,PST,CEDEN-KR19019_KHSA,STORET-725741872,,,,Nitrogen,Total,0.67,mg/l,,Final,,Actual,,,,,,,,,,1,,30,m,,,,,,,,,,,,,,,,,,,,,,,,,4056,CEDEN,SM 4500-N C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145634341,2009-07-22,11:30:00,PST,CEDEN-KR19019_KHSA,STORET-725741874,,,as P,Phosphorus,Total,0.13,mg/l,,Final,,Actual,,,,,,,,,,1,,30,m,,,,,,,,,,,,,,,,,,,,,,,,,181,CEDEN,EPA 365.4,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145636226,2009-07-22,10:20:00,PST,CEDEN-KR19019_KHSA,STORET-725483953,,,,Organic carbon,Dissolved,5.65,mg/l,,Final,,Actual,,,,,,,,,,1,,10,m,,,,,,,,,,,,,,,,,,,,,,,,,62,CEDEN,EPA 415.1,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145636226,2009-07-22,10:20:00,PST,CEDEN-KR19019_KHSA,STORET-725483954,,,,Nitrogen,Total,0.49,mg/l,,Final,,Actual,,,,,,,,,,1,,10,m,,,,,,,,,,,,,,,,,,,,,,,,,4056,CEDEN,SM 4500-N C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145636226,2009-07-22,10:20:00,PST,CEDEN-KR19019_KHSA,STORET-725483955,,,as P,Phosphorus,Total,0.15,mg/l,,Final,,Actual,,,,,,,,,,1,,10,m,,,,,,,,,,,,,,,,,,,,,,,,,181,CEDEN,EPA 365.4,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145636898,2009-07-22,10:00:00,PST,CEDEN-KR19019_KHSA,STORET-725639109,,,,Organic carbon,Dissolved,6.66,mg/l,,Final,,Actual,,,,,,,,,,1,,0.5,m,,,,,,,,,,,,,,,,,,,,,,,,,62,CEDEN,EPA 415.1,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145636898,2009-07-22,10:00:00,PST,CEDEN-KR19019_KHSA,STORET-725639110,,,,Nitrogen,Total,0.41,mg/l,,Final,,Actual,,,,,,,,,,1,,0.5,m,,,,,,,,,,,,,,,,,,,,,,,,,4056,CEDEN,SM 4500-N C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145636898,2009-07-22,10:00:00,PST,CEDEN-KR19019_KHSA,STORET-725639112,,,as P,Phosphorus,Total,0.16,mg/l,,Final,,Actual,,,,,,,,,,1,,0.5,m,,,,,,,,,,,,,,,,,,,,,,,,,181,CEDEN,EPA 365.4,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145625075,2009-08-18,11:30:00,PST,CEDEN-KR19019_KHSA,STORET-725557112,,,as P,Phosphorus,Total,0.12,mg/l,,Final,,Actual,,,,,,,,,,1,,0.5,m,,,,,,,,,,,,,,,,,,,,,,,,,181,CEDEN,EPA 365.4,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145625075,2009-08-18,11:30:00,PST,CEDEN-KR19019_KHSA,STORET-725557113,,,,Organic carbon,Dissolved,6.48,mg/l,,Final,,Actual,,,,,,,,,,1,,0.5,m,,,,,,,,,,,,,,,,,,,,,,,,,62,CEDEN,EPA 415.1,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145625075,2009-08-18,11:30:00,PST,CEDEN-KR19019_KHSA,STORET-725557116,,,,Nitrogen,Total,0.67,mg/l,,Final,,Actual,,,,,,,,,,1,,0.5,m,,,,,,,,,,,,,,,,,,,,,,,,,4056,CEDEN,SM 4500-N C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145629937,2009-08-18,12:35:00,PST,CEDEN-KR19019_KHSA,STORET-725355794,,,,Organic carbon,Dissolved,4.75,mg/l,,Final,,Actual,,,,,,,,,,1,,40,m,,,,,,,,,,,,,,,,,,,,,,,,,62,CEDEN,EPA 415.1,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145629937,2009-08-18,12:35:00,PST,CEDEN-KR19019_KHSA,STORET-725355799,,,,Nitrogen,Total,1.09,mg/l,,Final,,Actual,,,,,,,,,,1,,40,m,,,,,,,,,,,,,,,,,,,,,,,,,4056,CEDEN,SM 4500-N C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145629937,2009-08-18,12:35:00,PST,CEDEN-KR19019_KHSA,STORET-725355800,,,as P,Phosphorus,Total,0.16,mg/l,,Final,,Actual,,,,,,,,,,1,,40,m,,,,,,,,,,,,,,,,,,,,,,,,,181,CEDEN,EPA 365.4,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145630541,2009-08-18,11:40:00,PST,CEDEN-KR19019_KHSA,STORET-725345228,,,as P,Phosphorus,Total,0.16,mg/l,,Final,,Actual,,,,,,,,,,1,,10,m,,,,,,,,,,,,,,,,,,,,,,,,,181,CEDEN,EPA 365.4,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145630541,2009-08-18,11:40:00,PST,CEDEN-KR19019_KHSA,STORET-725345229,,,,Organic carbon,Dissolved,5.37,mg/l,,Final,,Actual,,,,,,,,,,1,,10,m,,,,,,,,,,,,,,,,,,,,,,,,,62,CEDEN,EPA 415.1,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145631666,2009-08-18,12:00:00,PST,CEDEN-KR19019_KHSA,STORET-725524772,,,as P,Phosphorus,Total,0.16,mg/l,,Final,,Actual,,,,,,,,,,1,,20,m,,,,,,,,,,,,,,,,,,,,,,,,,181,CEDEN,EPA 365.4,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145631666,2009-08-18,12:00:00,PST,CEDEN-KR19019_KHSA,STORET-725524773,,,,Organic carbon,Dissolved,4.26,mg/l,,Final,,Actual,,,,,,,,,,1,,20,m,,,,,,,,,,,,,,,,,,,,,,,,,62,CEDEN,EPA 415.1,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145631666,2009-08-18,12:00:00,PST,CEDEN-KR19019_KHSA,STORET-725524774,,,,Nitrogen,Total,0.74,mg/l,,Final,,Actual,,,,,,,,,,1,,20,m,,,,,,,,,,,,,,,,,,,,,,,,,4056,CEDEN,SM 4500-N C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145632647,2009-08-18,12:20:00,PST,CEDEN-KR19019_KHSA,STORET-725954911,,,,Organic carbon,Dissolved,4.72,mg/l,,Final,,Actual,,,,,,,,,,1,,30,m,,,,,,,,,,,,,,,,,,,,,,,,,62,CEDEN,EPA 415.1,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145632647,2009-08-18,12:20:00,PST,CEDEN-KR19019_KHSA,STORET-725954912,,,,Nitrogen,Total,1.07,mg/l,,Final,,Actual,,,,,,,,,,1,,30,m,,,,,,,,,,,,,,,,,,,,,,,,,4056,CEDEN,SM 4500-N C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
